Designator,Footprint,Quantity,Value,LCSC Part #
AE1,ANT-SMD_L3.2-W1.6,1,2450AT18A100E,C89334
BRD1,128x64OLED,1,SSD1306,
BUZZER1,BUZ-TH_BD9.0-P4.00-D0.6-FD,1,QMB-09B-03,C96256
C1,0805,1,4.7uF,
"C10, C11",0402,2,10uF,
"C12, C47",0603,2,100nF,
C13,0402,1,4.7uF,
"C14, C15, C16, C19, C20, C22, C23, C24, C25, C28, C29, C30, C32, C33, C34, C35, C38",0402,17,100nF,
C17,0402,1,1uF,
"C18, C27, C31, C46",0603,4,4.7uF,
"C2, C44, C45, C5",0805,4,22uF,
C21,0603,1,220nF,C21120
"C26, C36",0603,2,1uF,
"C3, C6",0805,2,10uF,
"C37, C39, C40, C41",0402,4,10pF,
"C4, C7, C9",0603,3,10nF,
"C42, C43",0402,2,330pF,
C8,0402,1,10nF,
"D10, D11, D8, D9",0603,4,LED,C965800
D12,0603,1,LED,C2290
D13,D_SOD-323,1,PESD15VL1BA,
D2,SMA_L4.3-W2.6-LS5.2-RD,1,SS56,C65009
D3,SOD-323_L1.7-W1.3-LS2.6-RD,1,15V,C19077448
D4,D_SOD-123,1,1N4148W,
D5,0603,1,LED,C965799
D6,0603,1,LED,C19171301
D7,0603,1,LED,C965807
FL1,FILTER-SMD_6P-L1.6-W1.0-P0.50-BL,1,MLPF-WB55-01E3,C2651048
L1,IND-SMD_L5.4-W5.2_FXL0530,1,FXL0530-4R7-M,C177246
L2,0603,1,10uH,
L3,0603,1,10nH,
L4,25X48MM_NFC_ANTENNA,1,25X48MM_NFC_ANTENNA,
Q1,TO-263-2_L10.0-W9.1-P5.08-LS15.2-BR,1,IRFS7440TRLPBF,C409762
Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,2SC1815_C727146,C727146
R1,0402,1,198.2K,C3013157
"R10, R17, R37, R38, R40, R41, R8, R9",0402,8,10K,
"R11, R19, R23, R25, R27, R28",0402,6,4.7K,
R12,0402,1,190K,C2998070
R13,0402,1,9.5K,C96273
"R14, R16",0402,2,3.3K,
R15,0402,1,30.9K,
R18,RES-SMD_L6.4-W3.2-1,1,HOLLR2512-3W-2MR-1%,C2994640
R2,0402,1,2.28K,C2998174
R20,0402,1,100K,
R22,0402,1,1K,
"R24, R29, R30, R31, R32, R33, R34, R35, R36",0402,9,100,
R26,0402,1,470,
R3,0402,1,9.4K,C852970
R39,0805,1,400,C153298
R4,0402,1,191K,C2998070
R5,0402,1,30,
R6,0402,1,162K,
R7,0402,1,38K,C852750
SW1,SW-TH_EC11E18244A5,1,EC11E18244A5,C255515
"SW2, SW3",SW-SMD_L3.9-W3.0-P4.45,2,SW_Push,C720477
"TP1, TP2, TP3",TestPoint_Pad_1.0x1.0mm,3,TestPoint,
U1,Texas_REF0038A_WQFN-38-2EP_6x4mm_P0.4,1,TPS25730D,
U10,XQFN-8_L1.6-W1.6-P0.50-BL_NT3H2111W0FHKH,1,NT3H2111W0FHKH,C710403
"U11, U4",CONN-TH_2P-P5.08_DB128L-5.08-2P-BK-S,2,DB128L-5.08-2P-BK-S,C430601
U12,TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm,1,MAX31865xTP,
U13,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,MAX6675ISA+T,C16030
U14,CONN-TH_3P-P5.08_DB128L-5.08-3P-BK-S,1,DB128L-5.08-3P-BK-S,C430602
U15,SOT-23-6,1,TPS56339DDC,
U2,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,TC4431EOA,C2909520
U3,WQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm_ThermalVias,1,TPD6S300A,
U5,VSSOP-10_3x3mm_P0.5mm,1,INA226,
U6,Texas_DSBGA-6_0.95x1.488mm_Layout2x3_P0.4mm,1,TMP119AIYBGR,
U8,WSON-8_L8.0-W6.10-P1.27-BL-EP,1,W25Q256JVEIQTR,C97522
U9,QFN-68-1EP_8x8mm_P0.4mm_EP6.4x6.4mm,1,STM32WB55REVx,
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
X1,CRYSTAL-SMD_4P-L2.0-W1.6-BL,1,XL7EL89CKI-111YLC-32M,C2965582
X2,OSC-SMD_L2.0-W1.2,1,X201232768KJD2SI,C383843
