Designator,Mid X,Mid Y,Rotation,Layer
AE1,91.043333,-111.825,180.0,top
BRD1,161.342905,-79.238451,0.0,top
BUZZER1,141.893333,-98.15,270.0,top
C1,91.693333,-69.985,90.0,top
C10,95.043333,-79.3,270.0,top
C11,96.218333,-80.2,270.0,top
C12,113.225,-79.3,180.0,top
C13,98.243333,-80.8,270.0,top
C14,112.8,-84.7125,90.0,top
C15,102.697526,-87.566114,90.0,top
C16,107.343333,-77.675,270.0,top
C17,99.447526,-91.578614,180.0,top
C18,119.443333,-108.35,270.0,top
C19,122.675,-72.625,90.0,top
C2,99.043333,-70.425,90.0,top
C20,103.868333,-104.2,0.0,top
C21,208.943333,-91.5,180.0,top
C22,121.818333,-106.275,270.0,top
C23,110.468333,-100.125,180.0,top
C24,120.793333,-106.275,270.0,top
C25,117.416962,-96.031371,0.0,top
C26,110.190591,-98.576372,180.0,top
C27,124.118333,-106.9,270.0,top
C28,110.868333,-107.45,180.0,top
C29,115.093333,-95.825,90.0,top
C3,113.125,-75.3,180.0,top
C30,181.593333,-88.175,270.0,top
C31,117.068333,-94.775,0.0,top
C32,115.395591,-109.201372,0.0,top
C33,200.718333,-81.3,270.0,top
C34,121.593333,-99.8,0.0,top
C35,183.068333,-87.725,0.0,top
C36,115.186962,-111.256371,270.0,top
C37,120.786962,-111.256371,270.0,top
C38,180.968333,-79.875,180.0,top
C39,110.438333,-94.025,180.0,top
C4,93.543333,-70.21,90.0,top
C40,110.438333,-95.525,180.0,top
C41,116.611962,-111.281371,90.0,top
C42,93.068333,-73.7,90.0,top
C43,92.068333,-74.425,90.0,top
C44,123.75,-81.75,0.0,top
C45,123.75,-84.025,0.0,top
C46,151.65,-76.65,270.0,top
C47,150.075,-76.65,270.0,top
C5,101.168333,-70.425,90.0,top
C6,113.125,-77.4,180.0,top
C7,95.143333,-70.21,90.0,top
C8,102.718333,-70.42,90.0,top
C9,96.743333,-70.21,90.0,top
D10,149.528333,-106.8,180.0,top
D11,149.528333,-109.525,180.0,top
D12,173.7375,-109.775,180.0,top
D13,126.55,-106.375,180.0,top
D2,162.560888,-69.318086,270.0,top
D3,145.2,-73.675,270.0,top
D4,134.768333,-98.3,270.0,top
D5,137.29375,-109.525,180.0,top
D6,137.2875,-107.290018,180.0,top
D7,137.28875,-105.055035,180.0,top
D8,161.762917,-106.925,180.0,top
D9,161.762917,-109.525,180.0,top
FL1,112.752917,-108.56897,45.0,top
L1,118.3875,-82.025,180.0,top
L2,121.818333,-109.55,180.0,top
L3,121.818333,-107.95,0.0,top
L4,212.292686,-88.970545,90.0,top
Q1,137.325,-78.5675,90.0,top
Q2,131.393333,-98.7,270.0,top
R1,99.206381,-85.375,0.0,top
R10,93.918333,-78.425,90.0,top
R11,101.693333,-73.785,180.0,top
R12,100.968333,-80.05,180.0,top
R13,100.968333,-81.075,0.0,top
R14,101.418333,-76.61,270.0,top
R15,109.8,-81.025,0.0,top
R16,101.418333,-78.57,90.0,top
R17,111.25,-79.475,90.0,top
R18,108.468333,-71.74,180.0,top
R19,117.975,-72.65,0.0,top
R2,101.166381,-85.375,0.0,top
R20,99.472526,-90.553614,0.0,top
R22,143.375,-73.025,270.0,top
R23,104.338333,-83.7,0.0,top
R24,156.425,-72.475,90.0,top
R25,205.593333,-89.725,0.0,top
R26,131.443333,-95.625,270.0,top
R27,106.708333,-106.175,0.0,top
R28,106.708333,-107.175,0.0,top
R29,134.79625,-109.525,180.0,top
R3,99.206381,-84.025,0.0,top
R30,134.8025,-107.290018,180.0,top
R31,134.80125,-105.055035,180.0,top
R32,159.277917,-106.925,180.0,top
R33,159.277917,-109.525,180.0,top
R34,147.043333,-106.8,180.0,top
R35,147.043333,-109.525,180.0,top
R36,171.2625,-109.775,180.0,top
R37,188.120854,-98.149154,0.0,top
R38,197.820854,-98.049154,180.0,top
R39,185.2,-84.05,90.0,top
R4,101.166381,-84.025,0.0,top
R40,96.344396,-102.168615,90.0,top
R41,96.325246,-97.397869,270.0,top
R5,111.75,-84.7125,270.0,top
R6,99.206381,-82.640877,0.0,top
R7,101.166381,-82.640877,0.0,top
R8,94.543333,-72.36,0.0,top
R9,94.543333,-73.435,0.0,top
SW1,192.970854,-90.799154,0.0,top
SW2,92.844396,-101.643615,180.0,top
SW3,92.825246,-97.897869,180.0,top
U1,98.018333,-75.785,90.0,top
U10,207.718333,-89.725,270.0,top
U11,198.239847,-69.444281,0.0,top
U12,180.978333,-83.76,180.0,top
U13,204.143333,-83.525,90.0,top
U14,184.509847,-69.411781,0.0,top
U15,112.875,-82.0,0.0,top
U2,150.875,-72.4025,0.0,top
U3,102.697526,-90.778614,270.0,top
U4,170.724847,-69.444281,0.0,top
U5,104.868333,-79.4,90.0,top
U6,120.5,-73.1,180.0,top
U8,101.468333,-98.9,180.0,top
U9,116.230591,-102.606371,45.0,top
USB1,91.029333,-89.11,270.0,top
X1,118.611962,-111.231371,180.0,top
X2,112.368333,-94.775,270.0,top
